LastInitial,BBRefName,PlayerName
a,abrinal01,Alex Abrines
a,acyqu01,Quincy Acy
a,adamsst01,Steven Adams
a,adebaba01,Bam Adebayo
a,afflaar01,Arron Afflalo
a,ajincal01,Alexis Ajinca
a,aldrico01,Cole Aldrich
a,aldrila01,LaMarcus Aldridge
a,allenja01,Jarrett Allen
a,allenka01,Kadeem Allen
a,aminual01,AlFarouq Aminu
a,anderju01,Justin Anderson
a,anderky01,Kyle Anderson
a,anderry01,Ryan Anderson
a,anigbik01,Ike Anigbogu
a,antetgi01,Giannis Antetokounmpo
a,anthoca01,Carmelo Anthony
a,anunoog01,OG Anunoby
a,arcidry01,Ryan Arcidiacono
a,arizatr01,Trevor Ariza
a,arthuda01,Darrell Arthur
a,artisja01,Jamel Artis
a,asikom01,Omer Asik
a,augusdj01,DJ Augustin
b,babbilu01,Luke Babbitt
b,bacondw01,Dwayne Bacon
b,bakerro01,Ron Baker
b,baldwwa01,Wade Baldwin IV
b,balllo01,Lonzo Ball
b,bareajj01,JJ Barea
b,barneha01,Harrison Barnes
b,bartowi01,Will Barton
b,batumni01,Nicolas Batum
b,bayleje01,Jerryd Bayless
b,baynear01,Aron Baynes
b,bazemke01,Kent Bazemore
b,bealbr01,Bradley Beal
b,beaslma01,Malik Beasley
b,beaslmi01,Michael Beasley
b,belinma01,Marco Belinelli
b,belljo01,Jordan Bell
b,bembrde01,DeAndre Bembry
b,bendedr01,Dragan Bender
b,bertada01,Davis Bertans
b,beverpa01,Patrick Beverley
b,birchkh01,Khem Birch
b,birdja01,Jabari Bird
b,biyombi01,Bismack Biyombo
b,bjeline01,Nemanja Bjelica
b,blackta01,Tarik Black
b,blakean01,Antonio Blakeney
b,bledser01,Eric Bledsoe
b,bogdabo01,Bogdan Bogdanovic
b,bogdabo01,Bojan Bogdanovic
b,bookede01,Devin Booker
b,booketr01,Trevor Booker
b,bouchch01,Chris Boucher
b,bradlav01,Avery Bradley
b,bradlto01,Tony Bradley
b,breweco01,Corey Brewer
b,brogdma01,Malcolm Brogdon
b,brookaa01,Aaron Brooks
b,brookdi01,Dillon Brooks
b,brownan01,Anthony Brown
b,brownja01,Jaylen Brown
b,brownlo01,Lorenzo Brown
b,brownma01,Markel Brown
b,brownst01,Sterling Brown
b,bryanth01,Thomas Bryant
b,bullore01,Reggie Bullock
b,burketr01,Trey Burke
b,burksal01,Alec Burks
b,butleji01,Jimmy Butler
b,buyckdw01,Dwight Buycks
c,cabocbr01,Bruno Caboclo
c,caldejo01,Jose Calderon
c,caldwke01,Kentavious CaldwellPope
c,capelcl01,Clint Capela
c,carrode01,DeMarre Carroll
c,cartevi01,Vince Carter
c,cartemi01,Michael CarterWilliams
c,carusal01,Alex Caruso
c,casspom01,Omri Casspi
c,caulewi01,Willie CauleyStein
c,cavanty01,Tyler Cavanaugh
c,chalmma01,Mario Chalmers
c,chandty01,Tyson Chandler
c,chandwi01,Wilson Chandler
c,chrisma01,Marquese Chriss
c,clarkia01,Ian Clark
c,clarkjo01,Jordan Clarkson
c,clevean01,Antonius Cleveland
c,collijo01,John Collins
c,colliza01,Zach Collins
c,colliky01,Kyle Collinsworth
c,collida01,Darren Collison
c,collini01,Nick Collison
c,conlemi01,Mike Conley
c,connapa01,Pat Connaughton
c,cookqu01,Quinn Cook
c,cookech01,Charles Cooke
c,cooleja01,Jack Cooley
c,costema01,Matt Costello
c,couside01,DeMarcus Cousins
c,covinro01,Robert Covington
c,crabbal01,Allen Crabbe
c,craigto01,Torrey Craig
c,crawfja01,Jamal Crawford
c,crowdja01,Jae Crowder
c,cunnida01,Dante Cunningham
c,curryse01,Seth Curry
c,curryst01,Stephen Curry
d,danietr01,Troy Daniels
d,davisan01,Anthony Davis
d,davisde01,Deyonta Davis
d,davised01,Ed Davis
d,derozde01,DeMar DeRozan
d,dedmode01,Dewayne Dedmon
d,dekkesa01,Sam Dekker
d,delanma01,Malcolm Delaney
d,dellama01,Matthew Dellavedova
d,denglu01,Luol Deng
d,diallch01,Cheick Diallo
d,dienggo01,Gorgui Dieng
d,dinwisp01,Spencer Dinwiddie
d,dorsety01,Tyler Dorsey
d,dotsoda01,Damyean Dotson
d,doylemi01,Milton Doyle
d,doziepj01,PJ Dozier
d,dragigo01,Goran Dragic
d,drewla02,Larry Drew II
d,drumman01,Andre Drummond
d,dudleja01,Jared Dudley
d,dunnkr01,Kris Dunn
d,duranke01,Kevin Durant
e,eddieja01,Jarell Eddie
e,ellenhe01,Henry Ellenson
e,ellinwa01,Wayne Ellington
e,embiijo01,Joel Embiid
e,ennisty01,Tyler Ennis
e,ennisja01,James Ennis III
e,evansja01,Jawun Evans
e,evansty01,Tyreke Evans
e,exumda01,Dante Exum
f,farieke01,Kenneth Faried
f,favorde01,Derrick Favors
f,feldeka01,Kay Felder
f,feliccr01,Cristiano Felicio
f,feltora01,Raymond Felton
f,fergute01,Terrance Ferguson
f,ferreyo01,Yogi Ferrell
f,finnedo01,Dorian FinneySmith
f,forbebr01,Bryn Forbes
f,fournev01,Evan Fournier
f,foxde01,DeAaron Fox
f,fraziti01,Tim Frazier
f,fryech01,Channing Frye
f,fultzma01,Markelle Fultz
g,gallida01,Danilo Gallinari
g,gallola01,Langston Galloway
g,gasolma01,Marc Gasol
g,gasolpa01,Pau Gasol
g,gayru01,Rudy Gay
g,georgpa01,Paul George
g,georgma01,Marcus GeorgesHunt
g,gibsota01,Taj Gibson
g,gilesha01,Harry Giles
g,ginobma01,Manu Ginobili
g,goberru01,Rudy Gobert
g,gordoaa01,Aaron Gordon
g,gordoer01,Eric Gordon
g,gortama01,Marcin Gortat
g,grahatr01,Treveon Graham
g,grantje01,Jerami Grant
g,grantje01,Jerian Grant
g,greenda01,Danny Green
g,greendr01,Draymond Green
g,greenge01,Gerald Green
g,greenja01,JaMychal Green
g,greenje01,Jeff Green
g,griffbl01,Blake Griffin
h,hamilda01,Daniel Hamilton
h,hardati01,Tim Hardaway Jr.
h,hardeja01,James Harden
h,harklma01,Maurice Harkless
h,harremo01,Montrezl Harrell
h,harride01,Devin Harris
h,harriga01,Gary Harris
h,harrijo01,Joe Harris
h,harrito01,Tobias Harris
h,harrian01,Andrew Harrison
h,harrish01,Shaquille Harrison
h,hartjo01,Josh Hart
h,hasleud01,Udonis Haslem
h,hayesni01,Nigel Hayes
h,haywago01,Gordon Hayward
h,hearnre01,Reggie Hearn
h,henrymy01,Myke Henry
h,hensojo01,John Henson
